"momento","bairro","faixa_idade","estuda","sentimentos","afeta_vida","avontade_opinar","confia_eleitos","afasta","ja_participou","onde_discute","sabia_participar","criado_em"
"inicio","Campo Grande","16–17","escola pública","distante de mim","3","2","1","não entendo do assunto; é tudo corrupto; não muda nada; ninguém escuta jovem; medo de me expor","nunca","TikTok / Insta; amigos; na rua / bairro; escola","sabia mas nunca fui","2026-06-26T18:13:16.385865+00:00"
"inicio","Campo Grande","14–15","escola pública","distante de mim","1","2","1","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-26T18:14:20.453249+00:00"
"inicio","Campo Grande","18+","escola pública","curiosidade","4","4","2","não muda nada","às vezes","TikTok / Insta","sabia mas nunca fui","2026-06-26T18:14:57.841922+00:00"
"inicio","Campo Grande","14–15","escola pública","medo de falar errado","5","1","1","não muda nada","às vezes","escola","não sabia que dava","2026-06-26T18:33:07.514412+00:00"
"fim_jogo","Campo Grande","14–15","","curiosidade","5","","","","às vezes","","","2026-06-26T18:34:51.838197+00:00"
"inicio","Outro bairro","16–17","escola pública","desânimo","2","2","2","não muda nada","nunca","não discuto","não sabia que dava","2026-06-26T18:37:42.464389+00:00"
"fim_jogo","Campo Grande","16–17","","curiosidade; vontade de mudar algo","5","","","","nunca","","","2026-06-26T18:49:07.87707+00:00"
"inicio","Campo Grande","16–17","escola pública","curiosidade; vontade de mudar algo","5","5","3","ninguém escuta jovem","nunca","TikTok / Insta; escola; amigos","sabia mas nunca fui","2026-06-26T18:57:08.518135+00:00"
"inicio","Campo Grande","16–17","escola pública","medo de falar errado","3","5","1","não entendo do assunto","nunca","TikTok / Insta; na rua / bairro","sabia mas nunca fui","2026-06-26T18:58:39.515147+00:00"
"inicio","","","","","","","","","","","","2026-06-26T23:04:39.99433+00:00"
"inicio","Outro bairro","18+","escola pública","curiosidade","3","3","2","ninguém escuta jovem","nunca","TikTok / Insta","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
"inicio","Campo Grande","18+","escola pública","distante de mim","3","1","3","medo de me expor","nunca","TikTok / Insta","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
"inicio","Campo Grande","18+","escola pública","não é pra mim","4","1","3","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim","4","1","5","não muda nada","uma vez","TikTok / Insta","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim; medo de falar errado","5","2","1","não entendo do assunto; é tudo corrupto; nada me afasta","às vezes","WhatsApp da família; escola; amigos; na rua / bairro","sabia mas nunca fui","2026-06-30T15:05:58.151738+00:00"
"inicio","Campo Grande","14–15","escola pública","distante de mim","4","2","2","não entendo do assunto; ninguém escuta jovem","uma vez","amigos","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
"inicio","Campo Grande","14–15","escola pública","distante de mim","3","5","1","não muda nada","nunca","não discuto","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
"inicio","Outro bairro","16–17","escola pública","curiosidade; vontade de mudar algo","5","5","2","ninguém escuta jovem; não tenho tempo","nunca","TikTok / Insta; escola; amigos; na rua / bairro","sabia mas nunca fui","2026-06-30T15:05:58.151738+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim; medo de falar errado","4","1","2","é tudo corrupto; não muda nada; medo de me expor","nunca","TikTok / Insta; amigos","sabia mas nunca fui","2026-06-30T15:05:58.151738+00:00"
"inicio","Outro bairro","16–17","escola pública","não é pra mim","3","2","2","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
"inicio","Outro bairro","16–17","escola pública","distante de mim","5","3","2","não entendo do assunto","nunca","amigos","sabia mas nunca fui","2026-06-30T15:05:58.151738+00:00"
"inicio","Outro bairro","16–17","escola pública","curiosidade","3","2","2","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-30T15:05:58.151738+00:00"
